display_name,yahoo_symbol,exchange,type,company_name
EMMVEE,EMMVEE.BO,BSE,equity,Emmvee Photovoltaic Power Limited
ENGINERSIN,ENGINERSIN.BO,BSE,equity,Engineers India Limited
ENRIN,ENRIN.BO,BSE,equity,Siemens Energy India Limited
EPIGRAL,EPIGRAL.BO,BSE,equity,Epigral Limited
EQUAL50,EQUAL50.BO,BSE,equity,
EQUAL50ADD,EQUAL50ADD.BO,BSE,equity,
ESAFSFB,ESAFSFB.BO,BSE,equity,ESAF Small Finance Bank Limited
ESENSEX,ESENSEX.BO,BSE,equity,
ESG,ESG.BO,BSE,equity,
ESSARSHPNG,ESSARSHPNG.BO,BSE,equity,Essar Shipping Limited
ESSENTIA,ESSENTIA.BO,BSE,equity,Integra Essentia Limited
ETERNAL,ETERNAL.BO,BSE,equity,ETERNAL LIMITED
ETHOSLTD,ETHOSLTD.BO,BSE,equity,Ethos Limited
EUREKAFORB,EUREKAFORB.BO,BSE,equity,Eureka Forbes Limited
EUROBOND,EUROBOND.BO,BSE,equity,Euro Panel Products Limited
EUROTEXIND,EUROTEXIND.BO,BSE,equity,Eurotex Industries and Exports Limited
EVEREADY,EVEREADY.BO,BSE,equity,Eveready Industries India Limited
EVERESTIND,EVERESTIND.BO,BSE,equity,Everest Industries Limited
EVIETF,EVIETF.BO,BSE,equity,
EXCELINDUS,EXCELINDUS.BO,BSE,equity,Excel Industries Limited
EXPLEOSOL,EXPLEOSOL.BO,BSE,equity,Expleo Solutions Limited
EXXARO,EXXARO.BO,BSE,equity,Exxaro Tiles Limited
FCL,FCL.BO,BSE,equity,Fineotex Chemical Limited
FEDERALBNK,FEDERALBNK.BO,BSE,equity,The Federal Bank  Limited
FEDFINA,FEDFINA.BO,BSE,equity,Fedbank Financial Services Limited
FIBERWEB,FIBERWEB.BO,BSE,equity,Fiberweb (India) Limited
FIEMIND,FIEMIND.BO,BSE,equity,Fiem Industries Limited
FINEORG,FINEORG.BO,BSE,equity,Fine Organic Industries Limited
FINKURVE,FINKURVE.BO,BSE,equity,Finkurve Financial Services Limited
FINOPB,FINOPB.BO,BSE,equity,Fino Payments Bank Limited
FIRSTCRY,FIRSTCRY.BO,BSE,equity,Brainbees Solutions Limited
FIVESTAR,FIVESTAR.BO,BSE,equity,Five-Star Business Finance Limited
FLAIR,FLAIR.BO,BSE,equity,Flair Writing Industries Limited
FLEXITUFF,FLEXITUFF.BO,BSE,equity,Flexituff Ventures International Limited
FMCGIETF,FMCGIETF.BO,BSE,equity,
FOCUS,FOCUS.BO,BSE,equity,Focus Lighting and Fixtures Limited
FRACTAL,FRACTAL.BO,BSE,equity,Fractal Analytics Limited
FUSION,FUSION.BO,BSE,equity,Fusion Finance Limited
GAIL,GAIL.BO,BSE,equity,GAIL (India) Limited
GALAPREC,GALAPREC.BO,BSE,equity,Gala Precision Engineering Limited
GANDHAR,GANDHAR.BO,BSE,equity,Gandhar Oil Refinery (India) Limited
GANDHITUBE,GANDHITUBE.BO,BSE,equity,Gandhi Special Tubes Limited
GANECOS,GANECOS.BO,BSE,equity,Ganesha Ecosphere Limited
GANESHBE,GANESHBE.BO,BSE,equity,Ganesh Benzoplast Limited
GANESHHOU,GANESHHOU.BO,BSE,equity,GANESH HOUSING LIMITED
GARUDA,GARUDA.BO,BSE,equity,Garuda Construction and Engineering Limited
GATECH,GATECH.BO,BSE,equity,GACM Technologies Limited
GATECHDVR,GATECHDVR.BO,BSE,equity,GACM Technologies Limited
GAYAHWS,GAYAHWS.BO,BSE,equity,Gayatri Highways Limited
GCSL,GCSL.BO,BSE,equity,Gretex Corporate Services Limited
GEECEE,GEECEE.BO,BSE,equity,GeeCee Ventures Limited
GEMAROMA,GEMAROMA.BO,BSE,equity,Gem Aromatics Limited
GENUSPAPER,GENUSPAPER.BO,BSE,equity,Genus Paper & Boards Limited
GENUSPOWER,GENUSPOWER.BO,BSE,equity,Genus Power Infrastructures Limited
GHCL,GHCL.BO,BSE,equity,GHCL Limited
GINNIFILA,GINNIFILA.BO,BSE,equity,Ginni Filaments Limited
GIPCL,GIPCL.BO,BSE,equity,Gujarat Industries Power Company Limited
GKENERGY,GKENERGY.BO,BSE,equity,GK Energy Limited
GKSL,GKSL.BO,BSE,equity,Gujarat Kidney And Super Speciality Limited
GLAND,GLAND.BO,BSE,equity,Gland Pharma Limited
GLAXO,GLAXO.BO,BSE,equity,GlaxoSmithKline Pharmaceuticals Limited
GLENMARK,GLENMARK.BO,BSE,equity,Glenmark Pharmaceuticals Limited
GLOBALE,GLOBALE.BO,BSE,equity,Globale Tessile Limited
GLOBECIVIL,GLOBECIVIL.BO,BSE,equity,Globe Civil Projects Limited
GLOBUSSPR,GLOBUSSPR.BO,BSE,equity,Globus Spirits Limited
GLOSTERLTD,GLOSTERLTD.BO,BSE,equity,Gloster Limited
GMBREW,GMBREW.BO,BSE,equity,GM Breweries Limited
GMMPFAUDLR,GMMPFAUDLR.BO,BSE,equity,GMM Pfaudler Limited
GNFC,GNFC.BO,BSE,equity,Gujarat Narmada Valley Fertilizers and Chemicals Limited
GOCLCORP,GOCLCORP.BO,BSE,equity,GOCL Corporation Limited
GOCOLORS,GOCOLORS.BO,BSE,equity,Go Fashion (India) Limited
GODAVARIB,GODAVARIB.BO,BSE,equity,Godavari Biorefineries Limited
GODIGIT,GODIGIT.BO,BSE,equity,Go Digit General Insurance Limited
GODREJAGRO,GODREJAGRO.BO,BSE,equity,Godrej Agrovet Limited
GODREJCP,GODREJCP.BO,BSE,equity,Godrej Consumer Products Limited
